date,time,open,high,low,close,tickVolume
2014.04.11,22:00,1.46562,1.46641,1.46513,1.46526,949
2014.04.14,00:00,1.46743,1.46827,1.46698,1.46827,1012
2014.04.14,01:00,1.46823,1.46863,1.46689,1.467,786
2014.04.14,02:00,1.46717,1.46735,1.46607,1.4667,1464
2014.04.14,03:00,1.4667,1.4677,1.4666,1.46693,1027
2014.04.14,04:00,1.46694,1.46703,1.46615,1.46664,1161
2014.04.14,05:00,1.46664,1.46766,1.46656,1.46736,866
2014.04.14,06:00,1.46735,1.46739,1.46694,1.46712,639
2014.04.14,07:00,1.46711,1.46835,1.46706,1.46783,858
2014.04.14,08:00,1.46783,1.46883,1.46777,1.46808,1882
2014.04.14,09:00,1.46807,1.46843,1.46638,1.46638,3064
